GENE PRODUCT DB,GENE PRODUCT ID,SYMBOL,GO TERM,GO NAME,ECO ID,GO EVIDENCE CODE,REFERENCE,WITH/FROM,TAXON ID,GO ASPECT,Organel,Gene,Gene name,Reliability,Main location,Additional location,Extracellular location,Enhanced,Supported,Approved,Uncertain,Single-cell variation intensity,Single-cell variation spatial,Cell cycle dependency,GO id
UniProtKB,A0MZF5,PRKAA2,GO:0005634,nucleus,ECO:0000501,IEA,GO_REF:0000120,UniProtKB-KW:KW-0539|UniProtKB-SubCell:SL-0191,9606,C,nucleus,ENSG00000162409,PRKAA2,Supported,Nuclear speckles,Basal body;Cytosol;Golgi apparatus;Nucleoplasm,,,Nuclear speckles;Nucleoplasm,,Basal body;Cytosol;Golgi apparatus,,,,Basal body (GO:0036064);Cytosol (GO:0005829);Golgi apparatus (GO:0005794);Nuclear speckles (GO:0016607);Nucleoplasm (GO:0005654)
UniProtKB,A0PJ47,SAFB2,GO:0005634,nucleus,ECO:0000501,IEA,GO_REF:0000120,UniProtKB-KW:KW-0539|UniProtKB-SubCell:SL-0191,9606,C,nucleus,ENSG00000130254,SAFB2,Supported,Nucleoplasm,Nuclear bodies;Vesicles,,,Nuclear bodies;Nucleoplasm,Vesicles,,Nucleoplasm,,,Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
UniProtKB,A0PJ55,ZNF778,GO:0005634,nucleus,ECO:0000501,IEA,GO_REF:0000120,ARBA:ARBA00026330|UniProtKB-KW:KW-0539|UniProtKB-SubCell:SL-0191,9606,C,nucleus,ENSG00000170100,ZNF778,Supported,Nuclear bodies,Nucleoplasm,,,Nuclear bodies;Nucleoplasm,,,,,,Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654)
UniProtKB,A0PJ56,MAK16,GO:0005634,nucleus,ECO:0007322,IEA,GO_REF:0000043,UniProtKB-KW:KW-0539,9606,C,nucleus,ENSG00000198042,MAK16,Approved,Nucleoli;Vesicles,,,,Nucleoli,,Vesicles,,,,Nucleoli (GO:0005730);Vesicles (GO:0043231)
UniProtKB,A0PJ59,GARNL1,GO:0005634,nucleus,ECO:0000256,IEA,GO_REF:0000002,InterPro:IPR027107,9606,C,nucleus,,,,,,,,,,,,,,
UniProtKB,A0PJ61,RSL1D1,GO:0005634,nucleus,ECO:0007322,IEA,GO_REF:0000043,UniProtKB-KW:KW-0539,9606,C,nucleus,ENSG00000171490,RSL1D1,Supported,Mitotic chromosome;Nucleoli rim,Primary cilium;Vesicles,,Mitotic chromosome;Nucleoli rim,,Primary cilium;Vesicles,,Mitotic chromosome;Primary cilium;Vesicles,,Mitotic chromosome (biological definition),Mitotic chromosome (GO:0005694);Nucleoli rim (GO:0005730);Primary cilium (GO:0005929);Vesicles (GO:0043231)
UniProtKB,A0PJ70,GSG2,GO:0005634,nucleus,ECO:0000501,IEA,GO_REF:0000120,ARBA:ARBA00026330|UniProtKB-KW:KW-0539|UniProtKB-SubCell:SL-0191,9606,C,nucleus,,,,,,,,,,,,,,
UniProtKB,A0PJ71,NBN,GO:0005634,nucleus,ECO:0000501,IEA,GO_REF:0000120,InterPro:IPR016592|UniProtKB-KW:KW-0539,9606,C,nucleus,ENSG00000104320,NBN,Supported,Nucleoplasm,Golgi apparatus;Mitotic chromosome,,,Nucleoplasm,Mitotic chromosome,Golgi apparatus,Nucleoplasm,,Mitotic chromosome (biological definition),Golgi apparatus (GO:0005794);Mitotic chromosome (GO:0005694);Nucleoplasm (GO:0005654)
UniProtKB,A0PJ83,REST,GO:0005634,nucleus,ECO:0000501,IEA,GO_REF:0000120,ARBA:ARBA00026330|UniProtKB-KW:KW-0539|UniProtKB-SubCell:SL-0191,9606,C,nucleus,ENSG00000084093,REST,Supported,Nucleoplasm,Cytosol,,,Cytosol;Nucleoplasm,,,,,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
UniProtKB,A0PJ87,RSL1D1,GO:0005634,nucleus,ECO:0007322,IEA,GO_REF:0000043,UniProtKB-KW:KW-0539,9606,C,nucleus,ENSG00000171490,RSL1D1,Supported,Mitotic chromosome;Nucleoli rim,Primary cilium;Vesicles,,Mitotic chromosome;Nucleoli rim,,Primary cilium;Vesicles,,Mitotic chromosome;Primary cilium;Vesicles,,Mitotic chromosome (biological definition),Mitotic chromosome (GO:0005694);Nucleoli rim (GO:0005730);Primary cilium (GO:0005929);Vesicles (GO:0043231)
